team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Arsenal Sarandi,797.41,7.89,1.76,1.65,1.01,0.78,0.98,78.69674185463658,80.45112781954887,84.71177944862156
Atletico Madrid,4660.0,472.0,2.28,1.5,1.0,0.79,1.4899999999999998,78.44611528822055,91.47869674185463,95.73934837092732
1. FC Union Berlin,3970.0,192.5,1.24,1.27,1.38,1.91,-0.6699999999999999,78.19548872180451,21.052631578947366,49.373433583959894
Wycombe Wanderers,224.44,6.25,1.32,1.38,1.2,1.25,0.07000000000000006,77.94486215538848,28.07017543859649,48.62155388471178
Union Saint Gilloise,832.45,35.85,2.11,2.36,0.95,1.06,1.0499999999999998,77.69423558897243,67.91979949874687,90.22556390977444
Galatasaray,1190.0,236.58,1.78,1.84,0.61,0.49,1.29,77.44360902255639,92.23057644110276,92.98245614035088
Instituto,797.41,14.68,0.83,1.04,0.98,1.01,-0.18000000000000005,77.19298245614034,19.047619047619047,34.58646616541353
Bologna,4580.0,166.45,1.0,1.17,1.19,0.7,0.30000000000000004,76.94235588972431,78.94736842105263,82.20551378446115
Athletic Bilbao,4660.0,218.8,1.45,1.58,0.98,0.9,0.5499999999999999,76.69172932330827,88.22055137844612,90.47619047619048
Crystal Palace,10410.0,369.45,0.69,1.17,1.3,1.09,-0.40000000000000013,76.44110275689223,93.48370927318295,86.96741854636592
Eintracht Frankfurt,3970.0,170.15,1.02,1.14,1.46,0.68,0.33999999999999997,76.19047619047619,71.9298245614035,78.44611528822055
Fleetwood Town,224.44,8.53,0.59,1.12,1.25,1.39,-0.7999999999999999,75.93984962406014,8.270676691729323,9.273182957393484
Racing Club,797.41,198.45,1.18,1.06,1.26,1.15,0.030000000000000027,75.6892230576441,65.91478696741855,63.90977443609023
SV Darmstadt 98,382.35,32.8,1.46,1.39,1.56,2.48,-1.02,75.43859649122807,55.88972431077694,7.518796992481203
Portsmouth,224.44,10.18,1.46,1.65,1.08,0.53,0.9299999999999999,75.18796992481202,85.71428571428571,82.95739348370927
Sivasspor,1190.0,18.28,1.0,0.92,0.98,1.21,-0.20999999999999996,74.93734335839599,6.516290726817042,33.08270676691729
Swansea City,1680.0,65.5,1.4,1.4,1.28,1.25,0.1499999999999999,74.68671679197995,75.18796992481202,64.66165413533834
Orlando City SC,1270.0,46.28,1.46,1.21,1.25,1.04,0.41999999999999993,74.43609022556392,63.65914786967418,67.91979949874687
